#num	address	status	hash160	torus_pos	fraction	hot_bin	priority_zone
149	1CXvTzR6qv8wJ7eprzUKeWxyGcHwDYP1i2	unsolved	7e827e3b90da24c2a15f7b67e3bbece39955a5d0	488778	0.957431	19	-
150	1MUJSJYtGPVGkBCTqGspnxyHahpt5Te8jy	unsolved-pubkey	e08c4d3bc9cf2b3e2cb88de2bfaa4fe8c7aa3f24	43548	0.085303	-	-
151	13Q84TNNvgcL3HJiqQPvyBb9m4hxjS3jkV	unsolved	1a4fb632f0de0c53a0a31d57f840a19e56c645ee	34940	0.068441	-	-
152	1LuUHyrQr8PKSvbcY1v1PiuGuqFjWpDumN	unsolved	da56cd815fa2f0d6a4ce6d25ed7b1a01d9f9bc6b	331963	0.650258	-	-
153	18192XpzzdDi2K11QVHR7td2HcPS6Qs5vg	unsolved	4ccf94a1b0efd63cddeee0ef5eee5ebe720cfcbf	418783	0.820323	-	-
154	1NgVmsCCJaKLzGyKLFJfVequnFW9ZvnMLN	unsolved	edd2e206825fa8949d1304cd82c08d64b222f2eb	27337	0.053548	-	-
155	1AoeP37TmHdFh8uN72fu9AqgtLrUwcv2wJ	unsolved-pubkey	6b8b7830f73c5bf9e8beb9f161ad82b3bde992e4	21644	0.042397	0	-
156	1FTpAbQa4h8trvhQXjXnmNhqdiGBd1oraE	unsolved	9ea3f29aaedf7da10b1488934c50a39e271b0b64	159448	0.312331	-	-
157	14JHoRAdmJg3XR4RjMDh6Wed6ft6hzbQe9	unsolved	242d790e5a168043c76f0539fd894b73ee67b3b3	204899	0.401361	-	-
158	19z6waranEf8CcP8FqNgdwUe1QRxvUNKBG	unsolved	628dacebb0faa7f81670e174ca4c8a95a7e37029	401639	0.786741	-	-
159	14u4nA5sugaswb6SZgn5av2vuChdMnD9E5	unsolved	2ac1295b4e54b3f15bb0a99f84018d2082495645	38163	0.074755	-	-
160	1NBC8uXJy1GiJ6drkiZa1WuKn51ps7EPTv	unsolved-pubkey	e84818e1bf7f699aa6e28ef9edfb582099099292	435710	0.853480	17	-
